Year	Month	MeanMaxTemp
1902	1	26.2
1902	2	27.6
1902	3	29.7
1902	4	25
1902	5	20
1902	6	16.7
1902	7	15.7
1902	8	18.9
1902	9	18.7
1902	10	19.2
1902	11	24.2
1902	12	24.7
1903	1	30.9
1903	2	30.6
1903	3	25.2
1903	4	20.6
1903	5	20.2
1903	6	17.3
1903	7	15.7
1903	8	17.4
1903	9	17
1903	10	19.3
1903	11	23.4
1903	12	26.8
1904	1	29.8
1904	2	29.1
1904	3	27.6
1904	4	23.6
1904	5	18
1904	6	16.6
1904	7	15.8
1904	8	17.4
1904	9	18.5
1904	10	19
1904	11	24.9
1904	12	28.1
1905	1	27.4
1905	2	29.4
1905	3	27.3
1905	4	24.3
1905	5	18.7
1905	6	17.1
1905	7	16.3
1905	8	16.2
1905	9	17.9
1905	10	21.3
1905	11	23.1
1905	12	29
1906	1	29.4
1906	2	27.4
1906	3	27.3
1906	4	25.1
1906	5	20.2
1906	6	16.9
1906	7	15.5
1906	8	16.9
1906	9	16.3
1906	10	20.8
1906	11	24.1
1906	12	29.5
1907	1	29.8
1907	2	29.6
1907	3	27.3
1907	4	24.4
1907	5	20
1907	6	17.1
1907	7	16.4
1907	8	16.7
1907	9	16.9
1907	10	19.2
1907	11	22.9
1907	12	25.5
1908	1	27.9
1908	2	27.7
1908	3	24.8
1908	4	23.1
1908	5	18.7
1908	6	15
1908	7	16.3
1908	8	16.3
1908	9	17.7
1908	10	21
1908	11	23.8
1908	12	28.3
1909	1	29.3
1909	2	29.5
1909	3	26.4
1909	4	21.6
1909	5	18.6
1909	6	17.1
1909	7	16.1
1909	8	16.2
1909	9	19.1
1909	10	19.9
1909	11	23.7
1909	12	31.6
1910	1	29.9
1910	2	31.7
1910	3	29.5
1910	4	26.1
1910	5	18.6
1910	6	16
1910	7	14.9
1910	8	16.8
1910	9	19.5
1910	10	20.5
1910	11	24.5
1910	12	27.3
1911	1	31.5
1911	2	31.3
1911	3	26.6
1911	4	24.4
1911	5	18.9
1911	6	16.9
1911	7	15.7
1911	8	16.8
1911	9	18.4
1911	10	22.5
1911	11	25
1911	12	26.2
1912	1	30.6
1912	2	30.2
1912	3	28.2
1912	4	25.1
1912	5	19.4
1912	6	17
1912	7	15.6
1912	8	17.5
1912	9	16.8
1912	10	21
1912	11	24.6
1912	12	29
1913	1	29.8
1913	2	30.8
1913	3	27.7
1913	4	22.3
1913	5	20.8
1913	6	17.8
1913	7	16.4
1913	8	16.1
1913	9	19.6
1913	10	19.7
1913	11	24.6
1913	12	25.2
1914	1	31.6
1914	2	28.1
1914	3	26.3
1914	4	21.4
1914	5	19
1914	6	17.3
1914	7	16.7
1914	8	19.2
1914	9	21.4
1914	10	23.9
1914	11	24.5
1914	12	28.7
1915	1	31.8
1915	2	30.1
1915	3	26.3
1915	4	25.2
1915	5	20.1
1915	6	17.2
1915	7	16.7
1915	8	16.8
1915	9	16.2
1915	10	20.4
1915	11	25.7
1915	12	31
1916	1	27.9
1916	2	28.9
1916	3	27.6
1916	4	24.3
1916	5	19.6
1916	6	16.5
1916	7	15.6
1916	8	16.2
1916	9	20.8
1916	10	20.5
1916	11	25.2
1916	12	28.2
1917	1	29.3
1917	2	28.9
1917	3	24.4
1917	4	22.6
1917	5	18.2
1917	6	16.4
1917	7	16
1917	8	16.2
1917	9	16.7
1917	10	19.9
1917	11	24.8
1917	12	25.8
1918	1	31.1
1918	2	27.7
1918	3	25.7
1918	4	24.2
1918	5	19.5
1918	6	17.6
1918	7	17.9
1918	8	16.8
1918	9	20.2
1918	10	20.2
1918	11	25.4
1918	12	27.7
1919	1	28.7
1919	2	29.8
1919	3	28.8
1919	4	24
1919	5	20
1919	6	17.1
1919	7	16.9
1919	8	16.8
1919	9	17.8
1919	10	18.7
1919	11	23.8
1919	12	26.4
1920	1	31.4
1920	2	29.9
1920	3	28.2
1920	4	26
1920	5	19.4
1920	6	16.6
1920	7	15.1
1920	8	14.8
1920	9	19.3
1920	10	21.2
1920	11	27
1920	12	27.5
1921	1	30.9
1921	2	33.3
