"Date"	"P"	"Q"	"E"
1975-06-08	0.11	118.348	12.29
1975-06-09	1.17	97.619	13.02
1975-06-10	0.05	91.903	13.97
1975-06-11	2.74	129.485	9.24
1975-06-12	8.43	176.37	8.12
1975-06-13	6.69	145.425	10.92
1975-06-14	0.88	143.326	11.6
1975-06-15	1.97	130.335	11.29
1975-06-16	2.59	115.52	11.29
1975-06-17	0.55	109.468	11.09
1975-06-18	0.17	107.287	10.52
1975-06-19	0.02	103.393	11.06
1975-06-20	0.36	96.601	11.47
1975-06-21	0	91.83	12.11
1975-06-22	0.02	89.857	14.92
1975-06-23	0	88.029	14.64
1975-06-24	0.11	87.653	12.64
1975-06-25	0.19	84.756	11.57
1975-06-26	0.07	83.183	12.14
1975-06-27	0.56	88.488	12.47
1975-06-28	5.58	102.731	10.67
1975-06-29	4.07	102.686	9.88
1975-06-30	6.16	96.081	10.29
1975-07-01	0	94.063	10.23
1975-07-02	0	93.07	11.81
1975-07-03	0.02	91.133	11.3
1975-07-04	0.56	88.675	8.95
1975-07-05	9.41	87.757	5.2
1975-07-06	13.44	103.486	6.54
1975-07-07	15.32	129.116	6.56
1975-07-08	6.21	169.95	8.25
1975-07-09	4.15	182.116	10.92
1975-07-10	2.47	131.822	11.33
1975-07-11	16.08	115.187	9.51
1975-07-12	9.77	149.922	10.65
1975-07-13	20.89	178.755	11.92
1975-07-14	18.77	311.654	8.54
1975-07-15	6.62	305.884	8.98
1975-07-16	5.26	232.066	8.25
1975-07-17	0.05	215.387	9.84
1975-07-18	0.07	178.768	10.15
1975-07-19	1.47	153.538	10.17
1975-07-20	2.24	142.19	10.14
1975-07-21	2.82	142.251	11.77
1975-07-22	0.29	132.774	14.23
1975-07-23	0.49	126.557	15.63
1975-07-24	0.55	119.777	12.52
1975-07-25	2.6	113.391	13.94
1975-07-26	0.78	118.421	14.84
1975-07-27	0	117.56	15.59
1975-07-28	0.02	110.44	18.99
1975-07-29	0.77	104.259	17.08
1975-07-30	0.29	100.818	18.04
1975-07-31	12.28	101.511	9.75
1975-08-01	12.64	148.266	9.87
1975-08-02	6.45	176.28	8.61
1975-08-03	31.82	118.078	6.86
1975-08-04	12.08	309.637	8.74
1975-08-05	5.77	211.486	9.04
1975-08-06	4.97	173.622	9.99
1975-08-07	1.11	168.177	11.53
1975-08-08	0.97	151.021	11.89
1975-08-09	0	136.18	13.58
1975-08-10	5.62	127.803	13.17
1975-08-11	33.39	125.779	9.02
1975-08-12	21.83	293.708	9.54
1975-08-13	6.9	395.298	10.29
1975-08-14	0.32	220.423	10.26
1975-08-15	0.32	185.404	11.17
1975-08-16	0.15	164.741	10.42
1975-08-17	0.02	153.795	11.47
1975-08-18	1.82	147.427	11.07
1975-08-19	5.08	142.69	12.51
1975-08-20	7.35	160.104	10.63
1975-08-21	15.04	161.145	8.92
1975-08-22	23.12	368.856	8.48
1975-08-23	20	398.986	10.51
1975-08-24	9.75	482.375	10.79
1975-08-25	11.3	415.421	11.34
1975-08-26	7.47	281.658	12.63
1975-08-27	15.99	258.912	10.39
1975-08-28	19.22	355.182	8.94
1975-08-29	11.59	490.865	10.3
1975-08-30	7.29	337.592	10.93
1975-08-31	4.28	325.69	10.52
1975-09-01	0	258.537	12.68
1975-09-02	3.9	226.35	13.65
1975-09-03	22.78	407.771	9.69
1975-09-04	16.16	504.072	8.37
1975-09-05	14.16	380.706	10.6
1975-09-06	1.21	297.936	11.94
1975-09-07	1.39	285.261	14.37
1975-09-08	1.08	257.752	14.34
1975-09-09	0	251.446	18.12
1975-09-10	0	239.947	18.06
1975-09-11	0	228.47	19.14
1975-09-12	0	217.685	20.31
1975-09-13	19.06	332.83	13.83
1975-09-14	20.3	329.531	17.67
1975-09-15	11.4	238.752	19.39
1975-09-16	7.76	278.673	14.7
1975-09-17	23.79	359.891	21.27
1975-09-18	24.75	450.203	13.37
1975-09-19	12.39	334.176	12.2
1975-09-20	10.41	374.339	13.25
1975-09-21	3.48	312.262	13.26
1975-09-22	18.19	364.609	15.4
1975-09-23	12.83	402.777	12.89
1975-09-24	6.48	308.552	14.28
1975-09-25	0	280.942	14.98
1975-09-26	0	267.043	15.68
1975-09-27	0.01	258.874	15.7
1975-09-28	22.11	346.859	15.9
1975-09-29	4.48	261.35	12.42
1975-09-30	1.3	247.56	12.32
1975-10-01	0.05	239.625	12.42
1975-10-02	2.46	239.503	11.9
1975-10-03	11.87	233.342	13.8
1975-10-04	3.07	267.53	16.05
1975-10-05	0	247.836	17.29
1975-10-06	0.27	220.444	18.6
1975-10-07	7.73	213.206	16.39
1975-10-08	40.3	232.112	14.15
1975-10-09	6.89	461.926	17.27
1975-10-10	10.49	361.264	15.93
1975-10-11	5.14	318.733	12.72
1975-10-12	15.76	322.527	11.34
1975-10-13	12.37	383.707	12.35
1975-10-14	5.59	398.912	13.66
1975-10-15	10.31	349.452	13.13
1975-10-16	0.83	332.398	12.45
1975-10-17	4.24	301.195	12.56
1975-10-18	0.07	303.335	16.05
1975-10-19	0	276.302	17.22
1975-10-20	1.99	263.284	19.28
1975-10-21	22.48	259.322	13.82
1975-10-22	8.35	317.251	16.41
1975-10-23	1.52	311.939	16.79
1975-10-24	11.27	264.632	17.33
1975-10-25	20.98	322.532	11.47
1975-10-26	32.96	532.66	14.22
1975-10-27	27.63	887.727	18.03
1975-10-28	0	610.931	21.16
1975-10-29	0.13	407.323	23.31
1975-10-30	9.4	367.176	18.16
1975-10-31	31.9	389.888	16.33
1975-11-01	14.7	545.2	14.2
1975-11-02	0.7	413.191	17.65
1975-11-03	6.49	392.337	17.57
1975-11-04	14.6	426.036	14.77
1975-11-05	17.78	442.526	14.97
1975-11-06	24.22	619.663	14.51
1975-11-07	24.93	535.314	14.73
1975-11-08	0.94	443.639	16.34
1975-11-09	0.63	401.126	14.8
1975-11-10	1.31	381.83	20.21
1975-11-11	0	359.833	21.57
1975-11-12	0	347.981	22.51
1975-11-13	0	336.645	24.78
1975-11-14	0.02	325.243	22.36
1975-11-15	0.36	319.314	24.21
1975-11-16	0.41	331.641	25.84
1975-11-17	0.36	316.11	24.78
1975-11-18	0	293.342	26.12
1975-11-19	0.04	280.031	29.25
1975-11-20	0.77	273.832	22.5
1975-11-21	6.27	284.505	20.6
1975-11-22	0.28	271.661	24.35
1975-11-23	3.38	327.006	18.27
1975-11-24	18.95	308.949	21.09
1975-11-25	1.94	264.325	17.82
1975-11-26	3.67	269.641	16.82
1975-11-27	0	251.657	23.34
1975-11-28	0	240.759	28.24
1975-11-29	0	234.16	29.42
1975-11-30	0.02	227.339	31.67
1975-12-01	0.06	220.587	30.67
1975-12-02	0	223.619	30.12
1975-12-03	13.99	219.102	24.52
1975-12-04	43.84	378.021	18.62
1975-12-05	5.07	434.813	24.97
1975-12-06	3.66	254.491	23.92
1975-12-07	3.14	263.687	27.37
1975-12-08	2.2	250.064	28.89
1975-12-09	0	227.384	25.27
1975-12-10	0	215.318	27.25
1975-12-11	0	209.128	34.87
1975-12-12	0	199.6	35.05
