"Time"	"P"	"Q"
"1987-01-01 12:00"	1.7022	0.42625
"1987-01-01 13:00"	1.3528	0.49921
"1987-01-01 14:00"	1.8834	0.62421
"1987-01-01 15:00"	3.9669	0.93089
"1987-01-01 16:00"	3.0246	1.2475
"1987-01-01 17:00"	2.9156	1.5221
"1987-01-01 18:00"	2.8434	1.68373
"1987-01-01 19:00"	2.5836	1.67045
"1987-01-01 20:00"	1.5516	1.52524
"1987-01-01 21:00"	0.9512	1.46373
"1987-01-01 22:00"	0.9512	1.61945
"1987-01-01 23:00"	0.9512	1.58591
"1987-01-02 00:00"	0.9512	1.63639
"1987-01-02 01:00"	0.9512	1.41136
"1987-01-02 02:00"	0.9512	1.17665
"1987-01-02 03:00"	0.9512	1.01718
"1987-01-02 04:00"	0.9512	0.90581
"1987-01-02 05:00"	0.9512	0.82517
"1987-01-02 06:00"	0.9512	0.76128
"1987-01-02 07:00"	0.9512	0.70635
"1987-01-02 08:00"	0.9512	0.6657
"1987-01-02 09:00"	0.9512	0.62986
"1987-01-02 10:00"	0.9512	0.60541
"1987-01-02 11:00"	0.9512	0.57821
"1987-01-02 12:00"	0.9512	0.55168
"1987-01-02 13:00"	0.9512	0.52591
"1987-01-02 14:00"	0.9512	0.50602
"1987-01-02 15:00"	0.9512	0.49374
"1987-01-02 16:00"	0.9512	0.51439
"1987-01-02 17:00"	0.9512	0.56604
"1987-01-02 18:00"	0.9512	0.72929
"1987-01-02 19:00"	0.9512	1.37345
"1987-01-02 20:00"	0.9512	1.76119
"1987-01-02 21:00"	0.1169	1.66056
"1987-01-02 22:00"	0.1169	1.29964
"1987-01-02 23:00"	0.1169	1.04028
"1987-01-03 00:00"	0.1169	0.88479
"1987-01-03 01:00"	0.1169	0.77842
"1987-01-03 02:00"	0.1169	0.70768
"1987-01-03 03:00"	0.1169	0.65724
"1987-01-03 04:00"	0.1169	0.61583
"1987-01-03 05:00"	0.1169	0.58383
"1987-01-03 06:00"	0.1169	0.55493
"1987-01-03 07:00"	0.1169	0.52802
"1987-01-03 08:00"	0.1169	0.50706
"1987-01-03 09:00"	0.1169	0.48564
"1987-01-03 10:00"	0.1169	0.46874
"1987-01-03 11:00"	0.1169	0.45516
"1987-01-03 12:00"	0.1169	0.4362
"1987-01-03 13:00"	0.1169	0.41962
"1987-01-03 14:00"	0.1169	0.40888
"1987-01-03 15:00"	0.1169	0.39744
"1987-01-03 16:00"	0.1169	0.38292
"1987-01-03 17:00"	0.1169	0.37293
"1987-01-03 18:00"	0.1169	0.36244
"1987-01-03 19:00"	0.1169	0.35376
"1987-01-03 20:00"	0.1169	0.34684
"1987-01-03 21:00"	0.4554	0.33779
"1987-01-03 22:00"	0.4554	0.33124
"1987-01-03 23:00"	0.4554	0.32622
"1987-01-04 00:00"	0.4554	0.32203
"1987-01-04 01:00"	0.4554	0.31387
"1987-01-04 02:00"	0.4554	0.30924
"1987-01-04 03:00"	0.4554	0.30412
"1987-01-04 04:00"	0.4554	0.29673
"1987-01-04 05:00"	0.4554	0.29143
"1987-01-04 06:00"	0.4554	0.28637
"1987-01-04 07:00"	0.4554	0.28112
"1987-01-04 08:00"	0.4554	0.27674
"1987-01-04 09:00"	0.4554	0.27408
"1987-01-04 10:00"	0.4554	0.26827
"1987-01-04 11:00"	0.4554	0.2656
"1987-01-04 12:00"	0.4554	0.26694
"1987-01-04 13:00"	0.4554	0.2686
"1987-01-04 14:00"	0.4554	0.26761
"1987-01-04 15:00"	0.4554	0.26626
"1987-01-04 16:00"	0.4554	0.2693
"1987-01-04 17:00"	0.4554	0.2856
"1987-01-04 18:00"	0.4554	0.37055
"1987-01-04 19:00"	0.4554	0.58621
"1987-01-04 20:00"	0.4554	0.88047
"1987-01-04 21:00"	1.9668	1.327
"1987-01-04 22:00"	1.9668	2.1177
"1987-01-04 23:00"	1.9668	4.07318
"1987-01-05 00:00"	1.9668	4.93747
"1987-01-05 01:00"	1.9668	4.70522
"1987-01-05 02:00"	1.9668	4.27344
"1987-01-05 03:00"	1.9668	3.11154
"1987-01-05 04:00"	1.9668	2.24084
"1987-01-05 05:00"	1.9668	1.69313
"1987-01-05 06:00"	1.9668	1.36591
"1987-01-05 07:00"	1.9668	1.15397
"1987-01-05 08:00"	1.9668	1.0067
"1987-01-05 09:00"	1.9668	0.89729
"1987-01-05 10:00"	1.9668	0.81301
"1987-01-05 11:00"	1.9668	0.7483
